M,p0_p,rho0_rho,T0_T,A_Astar
0,1,1,1,Inf
0.002,1.0000028,1.000002,1.0000008,289.3525463
0.004,1.0000112,1.000008,1.0000032,144.6773148
0.006,1.0000252,1.000018,1.0000072,96.45270063
0.008,1.000044801,1.000032,1.0000128,72.34074078
0.01,1.000070002,1.000050001,1.00002,57.87384266
0.012,1.000100804,1.000072002,1.0000288,48.22947543
0.014,1.000137207,1.000098003,1.0000392,41.34084014
0.016,1.000179211,1.000128005,1.0000512,36.17453732
0.018,1.000226818,1.000162008,1.0000648,32.15645617
0.02,1.000280028,1.000200012,1.00008,28.94213019
0.022,1.000338841,1.000242018,1.0000968,26.31235343
0.024,1.000403258,1.000288025,1.0001152,24.12098861
0.026,1.00047328,1.000338034,1.0001352,22.26686376
0.028,1.000548908,1.000392046,1.0001568,20.67771316
0.03,1.000630142,1.000450061,1.00018,19.300542
0.032,1.000716984,1.000512079,1.0002048,18.09560413
0.034,1.000809434,1.0005781,1.0002312,17.03250545
0.036,1.000907494,1.000648126,1.0002592,16.08760612
0.038,1.001011165,1.000722156,1.0002888,15.24224309
0.04,1.001120448,1.000800192,1.00032,14.48148593
0.042,1.001235345,1.000882233,1.0003528,13.79324809
0.044,1.001355856,1.000968281,1.0003872,13.1676406
0.046,1.001481984,1.001058336,1.0004232,12.59649428
0.048,1.001613729,1.001152398,1.0004608,12.07300151
0.05,1.001751094,1.001250469,1.0005,11.59144387
0.052,1.00189408,1.001352548,1.0005408,11.1469827
0.054,1.002042688,1.001458638,1.0005832,10.73549619
0.056,1.002196922,1.001568738,1.0006272,10.35345135
0.058,1.002356781,1.001682849,1.0006728,9.997802505
0.06,1.002522269,1.001800972,1.00072,9.665910065
0.062,1.002693387,1.001923108,1.0007688,9.355475037
0.064,1.002870137,1.002049258,1.0008192,9.064485802
0.066,1.003052522,1.002179423,1.0008712,8.791174572
0.068,1.003240543,1.002313604,1.0009248,8.533981537
0.07,1.003434204,1.002451801,1.00098,8.29152515
0.072,1.003633505,1.002594016,1.0010368,8.062577369
0.074,1.003838451,1.002740249,1.0010952,7.846042916
0.076,1.004049042,1.002890503,1.0011552,7.640941802
0.078,1.004265282,1.003044777,1.0012168,7.446394554
0.08,1.004487173,1.003203073,1.00128,7.261609645
0.082,1.004714717,1.003365392,1.0013448,7.085872769
0.084,1.004947919,1.003531735,1.0014112,6.918537652
0.086,1.00518678,1.003702104,1.0014792,6.759018137
0.088,1.005431303,1.003876499,1.0015488,6.606781356
0.09,1.005681491,1.004054922,1.00162,6.461341805
0.092,1.005937347,1.004237374,1.0016928,6.322256199
0.094,1.006198875,1.004423857,1.0017672,6.189118982
0.096,1.006466077,1.004614372,1.0018432,6.061558391
0.098,1.006738957,1.00480892,1.0019208,5.939233014
0.1,1.007017518,1.005007502,1.002,5.82182875
0.102,1.007301762,1.005210121,1.0020808,5.709056135
0.104,1.007591695,1.005416777,1.0021632,5.600647972
0.106,1.007887318,1.005627472,1.0022472,5.49635723
0.108,1.008188636,1.005842208,1.0023328,5.395955175
0.11,1.008495653,1.006060985,1.00242,5.299229711
0.112,1.008808371,1.006283806,1.0025088,5.205983889
0.114,1.009126795,1.006510673,1.0025992,5.116034586
0.116,1.009450929,1.006741586,1.0026912,5.029211302
0.118,1.009780776,1.006976548,1.0027848,4.945355103
0.12,1.01011634,1.007215559,1.00288,4.864317646
0.122,1.010457626,1.007458623,1.0029768,4.785960318
0.124,1.010804637,1.007705741,1.0030752,4.710153448
0.126,1.011157378,1.007956914,1.0031752,4.636775599
0.128,1.011515853,1.008212144,1.0032768,4.565712924
0.13,1.011880066,1.008471433,1.00338,4.496858582
0.132,1.012250022,1.008734783,1.0034848,4.430112206
0.134,1.012625724,1.009002196,1.0035912,4.365379424
0.136,1.013007179,1.009273673,1.0036992,4.302571414
0.138,1.013394389,1.009549218,1.0038088,4.241604503
0.14,1.01378736,1.009828831,1.00392,4.182399799
0.142,1.014186096,1.010112515,1.0040328,4.124882857
0.144,1.014590603,1.010400271,1.0041472,4.068983367
0.146,1.015000885,1.010692102,1.0042632,4.01463487
0.148,1.015416946,1.01098801,1.0043808,3.961774502
0.15,1.015838793,1.011287997,1.0045,3.910342751
0.152,1.01626643,1.011592065,1.0046208,3.860283238
0.154,1.016699862,1.011900217,1.0047432,3.81154251
0.156,1.017139095,1.012212454,1.0048672,3.764069861
0.158,1.017584133,1.012528779,1.0049928,3.717817147
0.16,1.018034982,1.012849194,1.00512,3.672738634
0.162,1.018491647,1.013173701,1.0052488,3.628790846
0.164,1.018954135,1.013502303,1.0053792,3.585932429
0.166,1.01942245,1.013835002,1.0055112,3.544124022
0.168,1.019896598,1.014171801,1.0056448,3.503328136
0.17,1.020376584,1.014512701,1.00578,3.463509049
0.172,1.020862416,1.014857706,1.0059168,3.4246327
0.174,1.021354097,1.015206817,1.0060552,3.386666595
0.176,1.021851635,1.015560038,1.0061952,3.349579714
0.178,1.022355035,1.01591737,1.0063368,3.313342435
0.18,1.022864304,1.016278817,1.00648,3.277926451
0.182,1.023379446,1.016644381,1.0066248,3.243304699
0.184,1.02390047,1.017014064,1.0067712,3.209451294
0.186,1.02442738,1.01738787,1.0069192,3.176341464
0.188,1.024960183,1.0177658,1.0070688,3.143951491
0.19,1.025498886,1.018147858,1.00722,3.112258655
0.192,1.026043495,1.018534047,1.0073728,3.081241185
0.194,1.026594016,1.018924368,1.0075272,3.050878206
0.196,1.027150456,1.019318826,1.0076832,3.021149696
0.198,1.027712822,1.019717422,1.0078408,2.992036442
0.2,1.028281121,1.02012016,1.008,2.96352
0.202,1.028855359,1.020527042,1.0081608,2.935582656
0.204,1.029435544,1.020938072,1.0083232,2.90820739
0.206,1.030021681,1.021353252,1.0084872,2.881377846
0.208,1.030613779,1.021772585,1.0086528,2.855078294
0.21,1.031211844,1.022196075,1.00882,2.829293605
0.212,1.031815884,1.022623724,1.0089888,2.804009221
0.214,1.032425906,1.023055535,1.0091592,2.779211127
0.216,1.033041916,1.023491512,1.0093312,2.75488583
0.218,1.033663923,1.023931658,1.0095048,2.73102033
0.22,1.034291935,1.024375975,1.00968,2.7076021
0.222,1.034925957,1.024824467,1.0098568,2.684619065
0.224,1.035565999,1.025277138,1.0100352,2.662059581
0.226,1.036212067,1.02573399,1.0102152,2.639912418
0.228,1.03686417,1.026195026,1.0103968,2.618166738
0.23,1.037522316,1.02666025,1.01058,2.596812081
0.232,1.038186511,1.027129666,1.0107648,2.575838348
0.234,1.038856765,1.027603276,1.0109512,2.555235784
0.236,1.039533085,1.028081085,1.0111392,2.534994967
0.238,1.04021548,1.028563094,1.0113288,2.51510679
0.24,1.040903957,1.029049309,1.01152,2.495562452
0.242,1.041598525,1.029539732,1.0117128,2.47635344
0.244,1.042299192,1.030034367,1.0119072,2.457471521
0.246,1.043005967,1.030533217,1.0121032,2.438908733
0.248,1.043718858,1.031036286,1.0123008,2.420657366
0.25,1.044437873,1.031543578,1.0125,2.402709961
0.252,1.045163021,1.032055096,1.0127008,2.385059294
0.254,1.045894312,1.032570844,1.0129032,2.367698368
0.256,1.046631753,1.033090825,1.0131072,2.350620406
0.258,1.047375354,1.033615044,1.0133128,2.333818842
0.26,1.048125123,1.034143503,1.01352,2.31728731
0.262,1.04888107,1.034676207,1.0137288,2.301019639
0.264,1.049643203,1.03521316,1.0139392,2.285009847
0.266,1.050411532,1.035754365,1.0141512,2.26925213
0.268,1.051186066,1.036299826,1.0143648,2.253740859
0.27,1.051966814,1.036849548,1.01458,2.238470569
0.272,1.052753786,1.037403533,1.0147968,2.223435959
0.274,1.05354699,1.037961786,1.0150152,2.208631881
0.276,1.054346437,1.038524312,1.0152352,2.194053338
0.278,1.055152137,1.039091113,1.0154568,2.179695475
0.28,1.055964098,1.039662194,1.01568,2.165553576
0.282,1.05678233,1.04023756,1.0159048,2.151623061
0.284,1.057606844,1.040817213,1.0161312,2.137899478
0.286,1.058437649,1.041401159,1.0163592,2.124378497
0.288,1.059274755,1.041989402,1.0165888,2.111055913
0.29,1.060118173,1.042581945,1.01682,2.097927634
0.292,1.060967912,1.043178793,1.0170528,2.08498968
0.294,1.061823982,1.04377995,1.0172872,2.072238182
0.296,1.062686395,1.04438542,1.0175232,2.059669373
0.298,1.063555159,1.044995208,1.0177608,2.047279589
0.3,1.064430286,1.045609318,1.018,2.035065262
0.302,1.065311786,1.046227755,1.0182408,2.023022921
0.304,1.06619967,1.046850522,1.0184832,2.011149185
0.306,1.067093948,1.047477625,1.0187272,1.99944076
0.308,1.067994631,1.048109068,1.0189728,1.987894441
0.31,1.06890173,1.048744854,1.01922,1.976507104
0.312,1.069815256,1.04938499,1.0194688,1.965275704
0.314,1.070735219,1.050029478,1.0197192,1.954197276
0.316,1.071661632,1.050678325,1.0199712,1.943268929
0.318,1.072594504,1.051331534,1.0202248,1.932487844
0.32,1.073533846,1.05198911,1.02048,1.921851275
0.322,1.074479672,1.052651057,1.0207368,1.911356542
0.324,1.075431991,1.053317382,1.0209952,1.901001032
0.326,1.076390815,1.053988087,1.0212552,1.890782197
0.328,1.077356155,1.054663178,1.0215168,1.880697549
0.33,1.078328024,1.055342661,1.02178,1.870744664
0.332,1.079306432,1.056026538,1.0220448,1.860921172
0.334,1.080291392,1.056714817,1.0223112,1.851224764
0.336,1.081282916,1.0574075,1.0225792,1.841653185
0.338,1.082281014,1.058104594,1.0228488,1.83220423
0.34,1.0832857,1.058806103,1.02312,1.822875752
0.342,1.084296985,1.059512032,1.0233928,1.813665649
0.344,1.085314882,1.060222386,1.0236672,1.80457187
0.346,1.086339402,1.060937171,1.0239432,1.795592413
0.348,1.087370557,1.06165639,1.0242208,1.786725319
0.35,1.088408362,1.06238005,1.0245,1.777968677
0.352,1.089452827,1.063108156,1.0247808,1.769320618
0.354,1.090503965,1.063840712,1.0250632,1.760779314
0.356,1.091561789,1.064577724,1.0253472,1.752342981
0.358,1.092626311,1.065319197,1.0256328,1.744009872
0.36,1.093697545,1.066065136,1.02592,1.735778282
0.362,1.094775503,1.066815547,1.0262088,1.727646541
0.364,1.095860198,1.067570435,1.0264992,1.719613017
0.366,1.096951643,1.068329805,1.0267912,1.711676114
0.368,1.098049851,1.069093663,1.0270848,1.703834271
0.37,1.099154835,1.069862013,1.02738,1.696085959
0.372,1.100266609,1.070634862,1.0276768,1.688429685
0.374,1.101385186,1.071412215,1.0279752,1.680863985
0.376,1.102510579,1.072194078,1.0282752,1.673387427
0.378,1.103642803,1.072980455,1.0285768,1.665998612
0.38,1.104781869,1.073771352,1.02888,1.658696166
0.382,1.105927793,1.074566776,1.0291848,1.651478748
0.384,1.107080587,1.075366732,1.0294912,1.644345043
0.386,1.108240266,1.076171224,1.0297992,1.637293763
0.388,1.109406843,1.07698026,1.0301088,1.630323648
0.39,1.110580333,1.077793844,1.03042,1.623433463
0.392,1.11176075,1.078611983,1.0307328,1.616621998
0.394,1.112948107,1.079434682,1.0310472,1.609888068
0.396,1.114142419,1.080261948,1.0313632,1.603230513
0.398,1.115343701,1.081093785,1.0316808,1.596648195
0.4,1.116551966,1.081930199,1.032,1.59014
0.402,1.117767229,1.082771198,1.0323208,1.583704835
0.404,1.118989505,1.083616786,1.0326432,1.577341629
0.406,1.120218809,1.084466969,1.0329672,1.571049333
0.408,1.121455154,1.085321754,1.0332928,1.564826919
0.41,1.122698557,1.086181147,1.03362,1.558673377
0.412,1.123949031,1.087045153,1.0339488,1.552587718
0.414,1.125206592,1.087913778,1.0342792,1.546568973
0.416,1.126471255,1.08878703,1.0346112,1.540616191
0.418,1.127743036,1.089664913,1.0349448,1.534728438
0.42,1.129021948,1.090547435,1.03528,1.5289048
0.422,1.130308008,1.0914346,1.0356168,1.523144379
0.424,1.131601232,1.092326417,1.0359552,1.517446294
0.426,1.132901633,1.09322289,1.0362952,1.511809682
0.428,1.134209229,1.094124026,1.0366368,1.506233695
0.43,1.135524035,1.095029832,1.03698,1.500717501
0.432,1.136846066,1.095940313,1.0373248,1.495260284
0.434,1.138175339,1.096855477,1.0376712,1.489861242
0.436,1.139511869,1.097775329,1.0380192,1.484519588
0.438,1.140855673,1.098699877,1.0383688,1.479234552
0.44,1.142206766,1.099629126,1.03872,1.474005374
0.442,1.143565164,1.100563083,1.0390728,1.46883131
0.444,1.144930885,1.101501755,1.0394272,1.463711631
0.446,1.146303944,1.102445148,1.0397832,1.458645618
0.448,1.147684357,1.103393269,1.0401408,1.453632567
0.45,1.149072142,1.104346124,1.0405,1.448671785
0.452,1.150467315,1.105303721,1.0408608,1.443762594
0.454,1.151869893,1.106266065,1.0412232,1.438904324
0.456,1.153279892,1.107233165,1.0415872,1.434096322
0.458,1.154697329,1.108205025,1.0419528,1.429337941
0.46,1.156122222,1.109181654,1.04232,1.42462855
0.462,1.157554587,1.110163058,1.0426888,1.419967525
0.464,1.158994441,1.111149244,1.0430592,1.415354256
0.466,1.160441803,1.112140218,1.0434312,1.410788143
0.468,1.161896688,1.113135989,1.0438048,1.406268594
0.47,1.163359115,1.114136562,1.04418,1.401795029
0.472,1.164829101,1.115141945,1.0445568,1.397366879
0.474,1.166306664,1.116152144,1.0449352,1.392983582
0.476,1.167791822,1.117167168,1.0453152,1.388644588
0.478,1.169284591,1.118187022,1.0456968,1.384349354
0.48,1.170784991,1.119211715,1.04608,1.380097348
0.482,1.172293038,1.120241252,1.0464648,1.375888045
0.484,1.173808752,1.121275642,1.0468512,1.371720932
0.486,1.17533215,1.122314892,1.0472392,1.367595501
0.488,1.17686325,1.123359009,1.0476288,1.363511254
0.49,1.178402071,1.124407999,1.04802,1.359467701
0.492,1.179948632,1.125461871,1.0484128,1.35546436
0.494,1.18150295,1.126520632,1.0488072,1.351500757
0.496,1.183065045,1.127584289,1.0492032,1.347576426
0.498,1.184634934,1.12865285,1.0496008,1.343690907
0.5,1.186212638,1.129726322,1.05,1.33984375
0.502,1.187798174,1.130804712,1.0504008,1.33603451
0.504,1.189391563,1.131888029,1.0508032,1.332262751
0.506,1.190992822,1.132976279,1.0512072,1.328528041
0.508,1.192601971,1.13406947,1.0516128,1.324829959
0.51,1.194219029,1.13516761,1.05202,1.321168087
0.512,1.195844016,1.136270706,1.0524288,1.317542015
0.514,1.197476951,1.137378767,1.0528392,1.313951341
0.516,1.199117853,1.138491799,1.0532512,1.310395666
0.518,1.200766743,1.139609811,1.0536648,1.3068746
0.52,1.20242364,1.14073281,1.05408,1.303387758
0.522,1.204088564,1.141860804,1.0544968,1.299934761
0.524,1.205761534,1.142993801,1.0549152,1.296515236
0.526,1.207442571,1.144131809,1.0553352,1.293128816
0.528,1.209131696,1.145274836,1.0557568,1.289775139
0.53,1.210828927,1.146422889,1.05618,1.286453848
0.532,1.212534286,1.147575977,1.0566048,1.283164593
0.534,1.214247792,1.148734107,1.0570312,1.279907029
0.536,1.215969467,1.149897289,1.0574592,1.276680815
0.538,1.217699331,1.151065528,1.0578888,1.273485616
0.54,1.219437404,1.152238835,1.05832,1.270321102
0.542,1.221183708,1.153417217,1.0587528,1.267186948
0.544,1.222938263,1.154600681,1.0591872,1.264082833
0.546,1.22470109,1.155789237,1.0596232,1.261008443
0.548,1.226472211,1.156982893,1.0600608,1.257963466
0.55,1.228251646,1.158181656,1.0605,1.254947596
0.552,1.230039418,1.159385536,1.0609408,1.251960531
0.554,1.231835546,1.160594539,1.0613832,1.249001974
0.556,1.233640053,1.161808676,1.0618272,1.246071631
0.558,1.235452961,1.163027954,1.0622728,1.243169214
0.56,1.23727429,1.164252381,1.06272,1.240294439
0.562,1.239104064,1.165481966,1.0631688,1.237447025
0.564,1.240942303,1.166716718,1.0636192,1.234626695
0.566,1.242789029,1.167956645,1.0640712,1.231833178
0.568,1.244644265,1.169201756,1.0645248,1.229066204
0.57,1.246508033,1.170452059,1.06498,1.226325508
0.572,1.248380356,1.171707562,1.0654368,1.223610831
0.574,1.250261255,1.172968275,1.0658952,1.220921914
0.576,1.252150752,1.174234207,1.0663552,1.218258504
0.578,1.254048872,1.175505365,1.0668168,1.215620351
0.58,1.255955636,1.176781759,1.06728,1.213007209
0.582,1.257871067,1.178063397,1.0677448,1.210418833
0.584,1.259795188,1.179350289,1.0682112,1.207854985
0.586,1.261728022,1.180642443,1.0686792,1.205315429
0.588,1.263669592,1.181939868,1.0691488,1.20279993
0.59,1.265619921,1.183242573,1.06962,1.20030826
0.592,1.267579033,1.184550567,1.0700928,1.197840192
0.594,1.269546951,1.185863859,1.0705672,1.195395501
0.596,1.271523698,1.187182458,1.0710432,1.192973968
0.598,1.273509299,1.188506372,1.0715208,1.190575374
0.6,1.275503776,1.189835612,1.072,1.188199506
0.602,1.277507154,1.191170186,1.0724808,1.185846152
0.604,1.279519457,1.192510104,1.0729632,1.183515102
0.606,1.281540709,1.193855374,1.0734472,1.181206152
0.608,1.283570933,1.195206006,1.0739328,1.178919097
0.61,1.285610154,1.196562009,1.07442,1.176653738
0.612,1.287658397,1.197923393,1.0749088,1.174409876
0.614,1.289715685,1.199290166,1.0753992,1.172187317
0.616,1.291782044,1.200662339,1.0758912,1.169985867
0.618,1.293857498,1.20203992,1.0763848,1.167805337
0.62,1.295942072,1.203422918,1.07688,1.165645539
0.622,1.298035791,1.204811345,1.0773768,1.163506289
0.624,1.30013868,1.206205208,1.0778752,1.161387403
0.626,1.302250763,1.207604517,1.0783752,1.159288702
0.628,1.304372066,1.209009283,1.0788768,1.157210007
0.63,1.306502615,1.210419514,1.07938,1.155151144
0.632,1.308642435,1.211835221,1.0798848,1.153111938
0.634,1.310791551,1.213256412,1.0803912,1.151092219
0.636,1.312949989,1.214683098,1.0808992,1.149091818
0.638,1.315117775,1.216115289,1.0814088,1.147110569
0.64,1.317294935,1.217552993,1.08192,1.145148306
0.642,1.319481494,1.218996222,1.0824328,1.143204868
0.644,1.321677478,1.220444984,1.0829472,1.141280095
0.646,1.323882915,1.22189929,1.0834632,1.139373827
0.648,1.32609783,1.22335915,1.0839808,1.137485909
0.65,1.32832225,1.224824573,1.0845,1.135616187
0.652,1.3305562,1.22629557,1.0850208,1.133764508
0.654,1.332799709,1.22777215,1.0855432,1.131930721
0.656,1.335052802,1.229254324,1.0860672,1.130114679
0.658,1.337315507,1.230742102,1.0865928,1.128316235
0.66,1.33958785,1.232235493,1.08712,1.126535244
0.662,1.341869858,1.233734509,1.0876488,1.124771562
0.664,1.344161559,1.235239158,1.0881792,1.123025049
0.666,1.34646298,1.236749452,1.0887112,1.121295566
0.668,1.348774149,1.238265401,1.0892448,1.119582974
0.67,1.351095093,1.239787015,1.08978,1.117887137
0.672,1.353425839,1.241314304,1.0903168,1.116207922
0.674,1.355766416,1.242847278,1.0908552,1.114545195
0.676,1.358116851,1.244385949,1.0913952,1.112898826
0.678,1.360477173,1.245930326,1.0919368,1.111268684
0.68,1.362847409,1.24748042,1.09248,1.109654642
0.682,1.365227588,1.249036241,1.0930248,1.108056575
0.684,1.367617738,1.250597801,1.0935712,1.106474356
0.686,1.370017887,1.252165109,1.0941192,1.104907862
0.688,1.372428065,1.253738176,1.0946688,1.103356973
0.69,1.374848299,1.255317013,1.09522,1.101821567
0.692,1.377278619,1.256901631,1.0957728,1.100301525
0.694,1.379719054,1.25849204,1.0963272,1.098796731
0.696,1.382169632,1.26008825,1.0968832,1.097307068
0.698,1.384630384,1.261690274,1.0974408,1.095832422
0.7,1.387101337,1.263298121,1.098,1.094372679
0.702,1.389582522,1.264911803,1.0985608,1.092927727
0.704,1.392073968,1.26653133,1.0991232,1.091497455
0.706,1.394575705,1.268156713,1.0996872,1.090081755
0.708,1.397087763,1.269787964,1.1002528,1.088680519
0.71,1.399610171,1.271425093,1.10082,1.087293639
0.712,1.402142959,1.273068111,1.1013888,1.08592101
0.714,1.404686158,1.274717029,1.1019592,1.084562528
0.716,1.407239798,1.276371859,1.1025312,1.08321809
0.718,1.409803909,1.278032612,1.1031048,1.081887594
0.72,1.412378521,1.279699298,1.10368,1.080570939
0.722,1.414963666,1.281371929,1.1042568,1.079268027
0.724,1.417559374,1.283050517,1.1048352,1.077978758
0.726,1.420165677,1.284735072,1.1054152,1.076703035
0.728,1.422782604,1.286425606,1.1059968,1.075440763
0.73,1.425410187,1.28812213,1.10658,1.074191847
0.732,1.428048457,1.289824656,1.1071648,1.072956192
0.734,1.430697447,1.291533195,1.1077512,1.071733706
0.736,1.433357186,1.293247758,1.1083392,1.070524297
0.738,1.436027707,1.294968358,1.1089288,1.069327875
0.74,1.438709042,1.296695005,1.10952,1.06814435
0.742,1.441401222,1.298427711,1.1101128,1.066973633
0.744,1.444104279,1.300166488,1.1107072,1.065815637
0.746,1.446818246,1.301911347,1.1113032,1.064670275
0.748,1.449543155,1.303662301,1.1119008,1.063537462
0.75,1.452279038,1.30541936,1.1125,1.062417113
0.752,1.455025927,1.307182537,1.1131008,1.061309144
0.754,1.457783856,1.308951843,1.1137032,1.060213472
0.756,1.460552856,1.31072729,1.1143072,1.059130016
0.758,1.463332962,1.31250889,1.1149128,1.058058695
0.76,1.466124205,1.314296655,1.11552,1.056999429
0.762,1.468926619,1.316090598,1.1161288,1.055952139
0.764,1.471740238,1.317890729,1.1167392,1.054916746
0.766,1.474565094,1.319697061,1.1173512,1.053893174
0.768,1.477401222,1.321509605,1.1179648,1.052881345
0.77,1.480248654,1.323328375,1.11858,1.051881184
0.772,1.483107425,1.325153382,1.1191968,1.050892617
0.774,1.485977568,1.326984639,1.1198152,1.049915569
0.776,1.488859119,1.328822156,1.1204352,1.048949967
0.778,1.491752109,1.330665948,1.1210568,1.047995739
0.78,1.494656575,1.332516025,1.12168,1.047052813
0.782,1.497572551,1.334372401,1.1223048,1.046121119
0.784,1.500500071,1.336235088,1.1229312,1.045200587
0.786,1.503439169,1.338104097,1.1235592,1.044291147
0.788,1.506389881,1.339979442,1.1241888,1.043392732
0.79,1.509352242,1.341861135,1.12482,1.042505272
0.792,1.512326287,1.343749188,1.1254528,1.041628702
0.794,1.51531205,1.345643615,1.1260872,1.040762955
0.796,1.518309568,1.347544426,1.1267232,1.039907965
0.798,1.521318876,1.349451636,1.1273608,1.039063668
0.8,1.52434001,1.351365257,1.128,1.03823
0.802,1.527373004,1.353285301,1.1286408,1.037406897
0.804,1.530417896,1.355211781,1.1292832,1.036594297
0.806,1.533474722,1.35714471,1.1299272,1.035792137
0.808,1.536543517,1.359084101,1.1305728,1.035000356
0.81,1.539624318,1.361029966,1.13122,1.034218894
0.812,1.542717161,1.362982318,1.1318688,1.03344769
0.814,1.545822083,1.364941171,1.1325192,1.032686685
0.816,1.548939121,1.366906537,1.1331712,1.03193582
0.818,1.552068312,1.36887843,1.1338248,1.031195037
0.82,1.555209692,1.370856861,1.13448,1.030464279
0.822,1.558363299,1.372841845,1.1351368,1.029743488
0.824,1.56152917,1.374833394,1.1357952,1.029032608
0.826,1.564707343,1.376831522,1.1364552,1.028331584
0.828,1.567897854,1.378836241,1.1371168,1.027640361
0.83,1.571100743,1.380847565,1.13778,1.026958883
0.832,1.574316046,1.382865508,1.1384448,1.026287097
0.834,1.577543803,1.384890082,1.1391112,1.02562495
0.836,1.58078405,1.3869213,1.1397792,1.024972388
0.838,1.584036826,1.388959177,1.1404488,1.02432936
0.84,1.58730217,1.391003725,1.14112,1.023695814
0.842,1.590580121,1.393054958,1.1417928,1.023071698
0.844,1.593870716,1.395112889,1.1424672,1.022456962
0.846,1.597173995,1.397177532,1.1431432,1.021851556
0.848,1.600489997,1.399248901,1.1438208,1.021255431
0.85,1.603818761,1.401327009,1.1445,1.020668536
0.852,1.607160327,1.403411869,1.1451808,1.020090825
0.854,1.610514733,1.405503496,1.1458632,1.019522248
0.856,1.61388202,1.407601903,1.1465472,1.018962758
0.858,1.617262227,1.409707103,1.1472328,1.018412309
0.86,1.620655394,1.411819111,1.14792,1.017870853
0.862,1.624061561,1.413937941,1.1486088,1.017338345
0.864,1.627480769,1.416063605,1.1492992,1.016814738
0.866,1.630913057,1.418196119,1.1499912,1.016299989
0.868,1.634358466,1.420335496,1.1506848,1.015794052
0.87,1.637817037,1.42248175,1.15138,1.015296884
0.872,1.641288811,1.424634895,1.1520768,1.014808439
0.874,1.644773828,1.426794945,1.1527752,1.014328676
0.876,1.64827213,1.428961914,1.1534752,1.013857551
0.878,1.651783757,1.431135817,1.1541768,1.013395023
0.88,1.655308752,1.433316667,1.15488,1.012941048
0.882,1.658847156,1.435504479,1.1555848,1.012495587
0.884,1.66239901,1.437699266,1.1562912,1.012058597
0.886,1.665964356,1.439901044,1.1569992,1.011630037
0.888,1.669543237,1.442109827,1.1577088,1.011209869
0.89,1.673135694,1.444325628,1.15842,1.010798052
0.892,1.67674177,1.446548463,1.1591328,1.010394546
0.894,1.680361507,1.448778345,1.1598472,1.009999313
0.896,1.683994948,1.45101529,1.1605632,1.009612314
0.898,1.687642136,1.453259311,1.1612808,1.00923351
0.9,1.691303113,1.455510424,1.162,1.008862865
0.902,1.694977923,1.457768643,1.1627208,1.008500341
0.904,1.698666608,1.460033982,1.1634432,1.0081459
0.906,1.702369213,1.462306457,1.1641672,1.007799506
0.908,1.706085781,1.464586081,1.1648928,1.007461123
0.91,1.709816355,1.46687287,1.16562,1.007130715
0.912,1.71356098,1.469166839,1.1663488,1.006808247
0.914,1.717319699,1.471468002,1.1670792,1.006493682
0.916,1.721092556,1.473776374,1.1678112,1.006186987
0.918,1.724879597,1.476091971,1.1685448,1.005888127
0.92,1.728680865,1.478414806,1.16928,1.005597068
0.922,1.732496405,1.480744896,1.1700168,1.005313776
0.924,1.736326262,1.483082255,1.1707552,1.005038218
0.926,1.740170481,1.485426898,1.1714952,1.004770361
0.928,1.744029106,1.48777884,1.1722368,1.004510172
0.93,1.747902185,1.490138097,1.17298,1.004257618
0.932,1.751789761,1.492504683,1.1737248,1.004012668
0.934,1.75569188,1.494878615,1.1744712,1.00377529
0.936,1.759608589,1.497259906,1.1752192,1.003545453
0.938,1.763539933,1.499648573,1.1759688,1.003323125
0.94,1.767485959,1.502044631,1.17672,1.003108275
0.942,1.771446712,1.504448096,1.1774728,1.002900874
0.944,1.775422239,1.506858982,1.1782272,1.002700891
0.946,1.779412587,1.509277305,1.1789832,1.002508296
0.948,1.783417802,1.511703081,1.1797408,1.00232306
0.95,1.787437932,1.514136325,1.1805,1.002145154
0.952,1.791473023,1.516577053,1.1812608,1.001974549
0.954,1.795523123,1.519025281,1.1820232,1.001811215
0.956,1.799588279,1.521481023,1.1827872,1.001655125
0.958,1.80366854,1.523944297,1.1835528,1.001506251
0.96,1.807763952,1.526415117,1.18432,1.001364565
0.962,1.811874563,1.5288935,1.1850888,1.001230039
0.964,1.816000423,1.531379461,1.1858592,1.001102647
0.966,1.820141578,1.533873017,1.1866312,1.000982361
0.968,1.824298078,1.536374182,1.1874048,1.000869155
0.97,1.828469972,1.538882974,1.18818,1.000763002
0.972,1.832657307,1.541399408,1.1889568,1.000663876
0.974,1.836860133,1.543923499,1.1897352,1.000571752
0.976,1.8410785,1.546455266,1.1905152,1.000486604
0.978,1.845312456,1.548994722,1.1912968,1.000408407
0.98,1.849562051,1.551541885,1.19208,1.000337135
0.982,1.853827334,1.554096771,1.1928648,1.000272764
0.984,1.858108356,1.556659396,1.1936512,1.00021527
0.986,1.862405167,1.559229777,1.1944392,1.000164627
0.988,1.866717816,1.561807928,1.1952288,1.000120813
0.99,1.871046355,1.564393868,1.19602,1.000083802
0.992,1.875390833,1.566987613,1.1968128,1.000053573
0.994,1.879751301,1.569589178,1.1976072,1.000030101
0.996,1.884127811,1.572198581,1.1984032,1.000013363
0.998,1.888520413,1.574815838,1.1992008,1.000003337
1,1.892929159,1.577440966,1.2,1
1.002,1.8973541,1.58007398,1.2008008,1.00000333
1.004,1.901795287,1.582714899,1.2016032,1.000013304
1.006,1.906252773,1.585363738,1.2024072,1.000029901
